Time Stamp	Low Noise Accelerometer X	Low Noise Accelerometer Y	Low Noise Accelerometer Z	Gyroscope X	Gyroscope Y	Gyroscope Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Quaternion 0	Quaternion 1	Quaternion 2	Quaternion 3
CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL
milliseconds	m/(s^2) *	m/(s^2) *	m/(s^2) *	degrees/s *	degrees/s *	degrees/s *	local flux *	local flux *	local flux *	normalised quaternion	normalised quaternion	normalised quaternion	normalised quaternion
2560296.752929688	5.326732673267327	-10.64356435643564	-15.12871287128713	-468.4981684981685	-827.106227106227	-3094.139194139194	-0.2896551724137931	-6.817241379310345	-2.572413793103448	-0.2784331849018862	0.7655830243249926	-0.02888459551276119	0.5792437091180654
3072257.690429688	-1.00990099009901	-8.10891089108911	-15.12871287128713	-468.4981684981685	-827.106227106227	-3563.003663003663	-0.2568965517241379	-6.818965517241379	-2.562068965517241	0.1102946794280227	0.7563358004718456	0.3595801417969706	0.5352507470707095
3072328.002929688	-7.346534653465347	-13.17821782178218	15.28712871287129	-468.4981684981685	-826.7399267399267	-3375.457875457875	-0.2793103448275862	-6.818965517241379	-2.553448275862069	0.4570783440751259	0.5259183627567766	0.6329529772038054	0.3374311659310851
3072335.815429688	-13.68316831683168	-10.64356435643564	-17.66336633663366	-468.4981684981685	-827.106227106227	-4969.597069597069	-0.2655172413793103	-6.822413793103448	-2.541379310344828	0.6611976061626385	-0.003754069239504824	0.7477490507315079	-0.06062169330421494
3584273.315429688	-20.01980198019802	-10.64356435643564	-17.66336633663366	-468.4981684981685	-827.106227106227	-4594.505494505494	-0.2517241379310345	-6.825862068965517	-2.574137931034483	0.556173588717423	-0.5103357438892197	0.5162763283281873	-0.4045826498135894
3584445.190429688	14.1980198019802	-8.10891089108911	-17.66336633663366	-468.4981684981685	-827.4725274725274	-3656.776556776556	-0.2724137931034483	-6.825862068965517	-2.56551724137931	0.2768690236002629	-0.7878953997273254	0.1294102278754846	-0.5346189070547077
4096296.752929688	7.861386138613861	-10.64356435643564	-17.66336633663366	-468.4981684981685	-827.106227106227	-4500.7326007326	-0.2724137931034483	-6.837931034482758	-2.56551724137931	-0.1392273089406637	-0.7795603694404351	-0.366562415386556	-0.4883987944999533
4096413.940429688	1.524752475247525	-10.64356435643564	-15.12871287128713	-468.4981684981685	-826.7399267399267	-3844.322344322344	-0.2706896551724138	-6.813793103448276	-2.558620689655172	-0.4753040314638685	-0.4957013462782928	-0.6795588204145065	-0.2580039971956373
4608406.127929688	-4.811881188118812	-10.64356435643564	-17.66336633663366	-468.4981684981685	-827.106227106227	-5250.91575091575	-0.2672413793103448	-6.83103448275862	-2.537931034482758	-0.6201876122232888	0.08812073541312489	-0.766894395461667	0.1395530287901692
5120288.940429688	-11.14851485148515	-10.64356435643564	-17.66336633663366	-468.4981684981685	-827.106227106227	-5344.688644688645	-0.2620689655172413	-6.836206896551724	-2.558620689655172	-0.4311575085212349	0.6296408013941549	-0.4513165216953853	0.4625678991351067
5120453.002929688	-17.48514851485148	-10.64356435643564	-20.1980198019802	-468.4981684981685	-827.106227106227	-3375.457875457875	-0.293103448275862	-6.822413793103448	-2.553448275862069	-0.1540916831102984	0.8512933336398179	-0.06204882351875012	0.4977000671052597
5632288.940429688	16.73267326732673	-13.17821782178218	-20.1980198019802	-468.4981684981685	-827.4725274725274	-3281.684981684981	-0.2637931034482758	-6.832758620689655	-2.558620689655172	0.155859186669401	0.8414232499392453	0.3371469821356173	0.3924878862197876
5632288.940429688	10.3960396039604	-10.64356435643564	-20.1980198019802	-468.4981684981685	-827.106227106227	-3469.230769230769	-0.2879310344827586	-6.822413793103448	-2.563793103448276	0.4268437491298454	0.5858199847756623	0.6663271089070671	0.1750072661399232
5632288.940429688	4.059405940594059	-13.17821782178218	-20.1980198019802	-468.4981684981685	-827.106227106227	-3469.230769230769	-0.2810344827586207	-6.846551724137931	-2.562068965517241	0.5697453029545729	0.1530667453128047	0.8019976626044609	-0.09359813255363636
5632460.815429688	-2.277227722772277	-10.64356435643564	-20.1980198019802	-468.4981684981685	-826.7399267399267	-3844.322344322344	-0.2862068965517242	-6.820689655172414	-2.55	0.5185584914317058	-0.3609514632913235	0.6900236376228137	-0.3530984446775509
6144359.252929688	-8.613861386138614	-10.64356435643564	-17.66336633663366	-468.4981684981685	-827.4725274725274	-4125.641025641025	-0.2810344827586207	-6.825862068965517	-2.560344827586207	0.2719142482088962	-0.7608833378925828	0.3223962211451826	-0.4931327045834002
6656281.127929688	-14.95049504950495	-10.64356435643564	-20.1980198019802	-468.4981684981685	-827.106227106227	-4500.7326007326	-0.2620689655172413	-6.83103448275862	-2.562068965517241	-0.09413448898342811	-0.8686370886952091	-0.2013931609016533	-0.4427743227299671
6656484.252929688	19.26732673267327	-8.10891089108911	-20.1980198019802	-468.4981684981685	-827.4725274725274	-4688.278388278388	-0.2637931034482758	-6.822413793103448	-2.558620689655172	-0.4212907871779269	-0.5938190851537556	-0.6554274189569907	-0.2007681877826681
7168281.127929688	12.93069306930693	-10.64356435643564	-20.1980198019802	-468.4981684981685	-827.4725274725274	-3281.684981684981	-0.2862068965517242	-6.836206896551724	-2.555172413793104	-0.5800450348642655	-0.1902630968436968	-0.7899052797041495	0.05828688192268096
7168429.565429688	6.594059405940594	-10.64356435643564	-17.66336633663366	-468.4981684981685	-827.106227106227	-3094.139194139194	-0.2637931034482758	-6.820689655172414	-2.558620689655172	-0.5863123701948333	0.2500806902152287	-0.7142848870343864	0.2889542404815436
